Wall time,Step,Value
1722219114.4252663,6494,-4057.916259765625
1722219114.427239,6494,-4043.761962890625
1722219145.6239686,12930,-3896.447021484375
1722219145.875534,12970,-3929.2978515625
1722219174.180749,19344,-3802.032958984375
1722219174.7800162,19502,-3824.52880859375
1722219204.586096,25836,-3776.598388671875
1722219205.0019426,25956,-3727.10595703125
1722219227.53942,32288,-3614.224609375
1722219228.0488672,32446,-3635.921630859375
1722219251.8757653,38756,-3516.884765625
1722219252.5521505,38968,-3546.765625
1722219278.269372,45188,-3385.635498046875
1722219279.0543554,45440,-3403.61181640625
1722219301.3065007,51662,-3260.3779296875
1722219302.177441,51914,-3254.08154296875
1722219326.2297182,58116,-3125.160400390625
1722219327.0925384,58380,-3133.674072265625
1722219349.2100592,64608,-3012.555419921875
1722219349.9652696,64834,-2988.42236328125
1722219373.7356896,71040,-2834.287841796875
1722219374.70051,71328,-2866.43310546875
1722219397.530848,77470,-2764.857666015625
1722219398.5080285,77762,-2714.21533203125
1722219423.6560235,83922,-2584.69873046875
1722219424.4920294,84172,-2549.88671875
1722219448.0768673,90332,-2440.079345703125
1722219449.0092928,90634,-2412.359130859375
1722219469.9987018,96766,-2243.386474609375
1722219471.000665,97084,-2264.5322265625
1722219493.8247292,103152,-2101.75732421875
1722219495.0305915,103514,-2078.3115234375
1722219517.9338517,109580,-1953.9840087890625
1722219519.1456091,109946,-1942.9630126953125
1722219542.6298213,116028,-1772.7843017578125
1722219543.811443,116394,-1790.875244140625
1722219565.2966478,122460,-1631.0106201171875
1722219566.5303702,122824,-1616.310302734375
1722219590.450523,128898,-1480.51708984375
1722219591.621307,129254,-1466.878662109375
1722219615.892711,135306,-1286.3648681640625
1722219617.130267,135722,-1311.228759765625
1722219638.8369105,141736,-1102.330810546875
1722219640.189589,142150,-1088.0517578125
1722219663.9422395,148144,-984.0349731445312
1722219665.3017282,148560,-940.3696899414062
1722219686.0718143,154574,-779.7542114257812
1722219687.3262227,154970,-793.5462646484375
1722219709.7804644,160956,-649.5802001953125
1722219711.226365,161418,-622.8057861328125
1722219731.5771499,167382,-479.3641662597656
1722219733.1531992,167866,-477.05853271484375
1722219757.8855212,173810,-331.0990905761719
1722219759.591954,174316,-334.1600036621094
1722219782.6251147,180240,-202.07969665527344
1722219784.081528,180722,-171.37945556640625
1722219804.7965128,186668,-15.831704139709473
1722219806.236516,187124,-22.206483840942383
1722219829.4146683,193096,74.35741424560547
1722219830.9151995,193562,104.09297943115234
1722219852.2016032,199524,209.6875457763672
1722219853.5898418,199950,239.62342834472656
1722219877.1887398,205952,325.476806640625
1722219878.430019,206338,329.7388916015625
1722219900.3308847,212328,457.8785705566406
1722219901.7177489,212746,440.27899169921875
1722219924.436387,218716,550.6614379882812
1722219925.827841,219154,570.1329345703125
1722219946.3405836,225124,667.20654296875
1722219949.4119895,225522,656.1401977539062
1722219970.0812244,231546,757.2323608398438
1722219971.2980723,231930,759.277099609375
1722219995.8875406,237934,799.6598510742188
1722219997.2124577,238336,783.0599975585938
1722220018.2067597,244322,792.2359008789062
1722220019.58627,244744,823.5908203125
1722220042.9660165,250750,863.041259765625
1722220044.2926319,251172,908.18994140625
1722220065.5181494,257176,975.2986450195312
1722220066.8261,257580,980.76708984375
1722220089.6040425,263604,1026.082275390625
1722220090.9825969,264008,1018.3917236328125
1722220112.7763119,269992,1001.7330932617188
1722220116.7876809,270436,1002.4110107421875
1722220138.1543653,276398,986.4261474609375
1722220139.6777015,276862,1060.9674072265625
1722220162.9598708,282806,1094.4332275390625
1722220164.2153256,283248,1088.1209716796875
1722220184.1058176,289194,1134.8746337890625
1722220185.557635,289658,1114.7071533203125
1722220207.5589416,295620,1172.8699951171875
1722220208.846663,296042,1171.97216796875
1722220230.6783278,302028,1201.904296875
1722220232.0219374,302430,1205.4014892578125
1722220255.724103,308436,1278.0570068359375
1722220256.985704,308834,1264.673828125
1722220278.0178971,314844,1296.82080078125
1722220279.286954,315242,1305.326171875
1722220303.0700564,321248,1302.4649658203125
1722220304.3434463,321648,1298.9381103515625
1722220324.976518,327636,1321.838623046875
1722220328.0501602,328056,1331.6651611328125
1722220349.5511365,334044,1389.1180419921875
1722220350.86525,334442,1396.5267333984375
1722220375.1837537,340472,1393.8175048828125
1722220376.38379,340852,1385.8154296875
1722220398.0130095,346880,1378.3218994140625
1722220399.2528949,347280,1384.940673828125
1722220421.643953,353306,1390.6099853515625
1722220422.8873274,353706,1314.609130859375
1722220443.2990546,359704,1293.216552734375
1722220444.5651498,360094,1266.60546875
1722220468.1833882,366118,1350.9317626953125
1722220469.519154,366520,1336.683837890625
1722220491.7338228,372504,1286.757080078125
1722220494.8638554,372926,1289.0601806640625
1722220515.465564,378912,1281.3338623046875
1722220516.8241148,379334,1296.3067626953125
1722220539.971577,385300,1257.5631103515625
1722220541.4016166,385762,1312.449951171875
1722220561.9194314,391688,1429.831298828125
1722220563.4663877,392168,1400.307861328125
1722220586.4037573,398096,1470.5643310546875
1722220587.9096856,398576,1485.327392578125
1722220609.5037165,404504,1491.6058349609375
1722220611.1067207,405004,1487.8646240234375
1722220634.9106724,410870,1502.5074462890625
1722220636.590543,411410,1519.1097412109375
1722220656.558823,417256,1547.20263671875
1722220660.221396,417798,1546.904541015625
1722220679.9474156,423636,1562.768798828125
1722220681.811121,424200,1567.5125732421875
1722220702.3116245,430024,1532.7161865234375
1722220706.6310506,430610,1578.5623779296875
1722220727.7829409,436432,1565.2088623046875
1722220729.5785959,436992,1575.6844482421875
1722220751.9151502,442840,1526.542724609375
1722220753.619436,443392,1533.736083984375
1722220773.984159,449208,1444.44970703125
1722220775.8159547,449778,1456.3558349609375
1722220798.1174612,455614,1360.8389892578125
1722220799.951925,456204,1330.6663818359375
1722220820.5702243,462040,1440.6575927734375
1722220822.366734,462592,1418.408935546875
1722220845.877989,468444,1293.1768798828125
1722220847.7423022,469018,1248.3870849609375
1722220868.9789174,474834,1064.65478515625
1722220873.3169625,475422,1039.8017578125
1722220893.1867929,481242,954.958740234375
1722220895.1148572,481852,968.7523803710938
1722220916.6452916,487628,892.92236328125
1722220918.477825,488252,912.3193359375
1722220938.698726,494026,969.7514038085938
1722220940.8266528,494662,964.94482421875
1722220962.9187155,500414,927.735107421875
1722220965.0390067,501090,935.2152709960938
1722220985.1783698,506822,896.4086303710938
1722220987.3659751,507498,1019.111328125
1722221009.5503166,513210,1039.3909912109375
1722221011.9580812,513906,1041.073486328125
1722221032.1905398,519616,944.52685546875
1722221036.121905,520292,936.6416015625
1722221055.7937787,526024,1103.4251708984375
1722221057.9059649,526678,1084.951904296875
1722221078.9213276,532444,1113.8797607421875
1722221083.3707259,533106,1131.1712646484375
1722221104.232433,538840,1091.2530517578125
1722221106.6390648,539534,1106.6236572265625
1722221128.9293127,545248,1120.1268310546875
1722221131.0314305,545942,1108.5260009765625
1722221150.806376,551654,1139.3502197265625
1722221152.9028127,552330,1160.5145263671875
1722221174.2155755,558042,1079.8629150390625
1722221176.500638,558736,1128.4903564453125
1722221197.6944742,564430,1059.401123046875
1722221200.08807,565142,1043.6319580078125
1722221222.1232123,570816,1125.537841796875
1722221224.4726546,571548,1097.032958984375
1722221244.2586656,577244,1107.8861083984375
1722221248.6503859,577976,1093.7098388671875
1722221268.6592824,583658,1093.00048828125
1722221271.0401063,584402,1016.2757568359375
1722221292.6095662,590086,1116.962890625
1722221294.7699015,590788,1144.1243896484375
1722221315.3837652,596514,1113.078125
1722221317.6937542,597216,1112.3682861328125
1722221341.0540886,602922,1089.914306640625
1722221343.3630445,603604,1081.5455322265625
1722221363.5714698,609348,1088.248291015625
1722221365.7088492,610030,1105.6561279296875
1722221386.5361788,615754,1053.743896484375
1722221388.7225103,616458,1100.2164306640625
1722221408.4703362,622180,1135.278076171875
1722221412.2998843,622860,1097.994140625
1722221433.4143686,628608,1121.4931640625
1722221435.7051342,629288,1132.32470703125
1722221458.341388,635036,1133.8780517578125
1722221460.3839731,635714,1121.3472900390625
1722221480.671123,641464,1073.2745361328125
1722221482.8290672,642138,1073.2598876953125
1722221505.5201356,647892,1036.7489013671875
1722221507.6526148,648564,1066.5426025390625
1722221528.3648663,654314,1067.298828125
1722221530.5736017,654992,1084.8023681640625
1722221553.1922872,660742,1071.7249755859375
1722221555.4078262,661420,1082.185546875
1722221575.763195,667150,1057.247314453125
1722221580.361374,667848,1102.232421875
1722221600.1824481,673576,1141.37451171875
1722221602.44363,674256,1134.6964111328125
1722221623.8357103,680002,1115.7708740234375
1722221625.7813792,680678,1112.8580322265625
1722221645.2022405,686428,1044.923095703125
1722221647.300643,687104,1099.118896484375
1722221669.7914891,692850,1090.9337158203125
1722221671.9625883,693510,1054.210205078125
1722221692.7717583,699258,1083.5789794921875
1722221694.8745775,699918,1068.564453125
1722221716.5971818,705684,1061.6669921875
1722221718.6918228,706344,1086.249267578125
1722221739.1431563,712062,1135.3043212890625
1722221743.752851,712772,1103.0645751953125
1722221764.0082152,718490,1074.6988525390625
1722221766.342759,719198,1153.4024658203125
1722221786.9469826,724916,1040.8251953125
1722221791.2555118,725606,1082.1900634765625
1722221811.868205,731342,1058.5382080078125
1722221814.0148335,732006,1099.1556396484375
1722221836.8033564,737772,1096.47314453125
1722221838.755832,738414,1036.604736328125
1722221858.3823414,744206,1086.440185546875
1722221860.3490012,744842,1090.0780029296875
1722221881.804667,750640,1121.2919921875
1722221883.7741477,751270,1136.172607421875
1722221904.0320938,757066,1064.7796630859375
1722221906.0251994,757648,1056.405029296875
1722221928.5514953,763472,1052.600341796875
1722221930.5647047,764076,1059.6087646484375
1722221950.7149847,769880,1069.7164306640625
1722221954.3267863,770500,1095.9659423828125
1722221974.6489766,776272,1100.474853515625
1722221976.6562846,776902,1075.2486572265625
1722221999.3212354,782710,1145.271728515625
1722222001.343649,783330,1144.2528076171875
1722222022.3378851,789136,1058.0845947265625
1722222024.3714342,789756,1167.729736328125
1722222047.412621,795564,1127.1552734375
1722222049.3774223,796182,1145.9622802734375
1722222070.3364816,801970,1180.7418212890625
1722222072.3954163,802610,1209.613037109375
1722222093.5484781,808378,1210.3861083984375
1722222095.6221218,809036,1191.7666015625
1722222115.485207,814806,1111.5474853515625
1722222119.4251513,815462,1139.3856201171875
1722222139.6316679,821234,1179.1126708984375
1722222141.8156521,821884,1264.4056396484375
1722222165.285498,827662,1261.1693115234375
1722222167.1298676,828282,1290.1539306640625
1722222187.1189191,834090,1246.022216796875
1722222189.059225,834688,1334.64013671875
1722222211.7019196,840514,1324.4884033203125
1722222213.592342,841114,1309.7451171875
1722222234.4015794,846942,1284.0242919921875
1722222236.2846582,847516,1305.641845703125
1722222259.1787858,853368,1300.07666015625
1722222261.1086316,853922,1334.0106201171875
1722222282.3568625,859774,1300.135498046875
1722222286.4375098,860350,1349.369140625
1722222307.621875,866202,1373.043701171875
1722222309.5254803,866778,1373.8011474609375
1722222331.985294,872604,1352.012451171875
1722222333.7381818,873196,1360.968505859375
1722222353.5150309,879030,1340.10302734375
1722222355.3170977,879604,1366.029052734375
1722222377.9098566,885458,1397.524169921875
1722222379.799217,886030,1340.1583251953125
