Wall time,Step,Value
1722196704.5713909,6404,-4000.1484375
1722196704.5733912,6404,-3991.619140625
1722196730.009438,12806,-3868.50048828125
1722196730.0184314,12808,-3888.152587890625
1722196752.8290331,19210,-3745.073974609375
1722196752.8309672,19210,-3788.648193359375
1722196779.332444,25608,-3708.032958984375
1722196779.3534093,25612,-3686.224853515625
1722196805.3220937,32010,-3541.7978515625
1722196805.3516707,32016,-3550.284423828125
1722196833.516777,38412,-3442.81201171875
1722196833.5458088,38418,-3453.353759765625
1722196857.0436149,44814,-3325.772705078125
1722196857.053236,44816,-3319.0107421875
1722196880.392834,51218,-3177.123779296875
1722196880.3945887,51218,-3185.49267578125
1722196904.3515635,57620,-3068.430908203125
1722196904.3605533,57622,-3029.829833984375
1722196926.5287461,64024,-2903.817138671875
1722196926.5387516,64026,-2905.583740234375
1722196954.6055274,70428,-2745.752197265625
1722196954.607843,70428,-2745.69970703125
1722196980.3589046,76830,-2634.0205078125
1722196980.3609033,76830,-2649.6787109375
1722197007.6034915,83232,-2453.81103515625
1722197007.6055074,83232,-2479.8076171875
1722197031.7291257,89632,-2289.34765625
1722197031.7412589,89634,-2336.453369140625
1722197060.5888956,96034,-2156.19287109375
1722197060.6009119,96036,-2146.967041015625
1722197085.4675977,102438,-1981.5494384765625
1722197085.4695976,102438,-1998.411865234375
1722197108.527591,108838,-1801.8636474609375
1722197108.5455914,108842,-1802.8997802734375
1722197135.380877,115240,-1690.2879638671875
1722197135.3979745,115244,-1668.1241455078125
1722197160.4332755,121640,-1487.5784912109375
1722197160.4574072,121646,-1505.9993896484375
1722197184.8363585,128042,-1354.6741943359375
1722197184.85836,128048,-1339.802978515625
1722197213.1199934,134444,-1188.39111328125
1722197213.1460521,134450,-1159.2122802734375
1722197241.5789258,140846,-1000.1975708007812
1722197241.608296,140852,-992.8594360351562
1722197266.8224962,147248,-849.966552734375
1722197266.8316088,147250,-856.9679565429688
1722197293.9309027,153640,-658.9486694335938
1722197293.975928,153650,-657.3558349609375
1722197317.8660948,160030,-522.281494140625
1722197317.9350784,160054,-522.5191650390625
1722197341.1343362,166432,-323.88897705078125
1722197341.2214575,166458,-338.99951171875
1722197365.3237789,172834,-215.09805297851562
1722197365.4175196,172860,-231.22181701660156
1722197387.9545593,179236,-81.63846588134766
1722197388.0537722,179260,-52.38103103637695
1722197416.7974696,185640,65.60416412353516
1722197416.893852,185664,56.595855712890625
1722197442.341161,192044,174.7984619140625
1722197442.3988643,192060,182.96902465820312
1722197469.2683978,198446,247.99620056152344
1722197469.3151119,198458,292.1387939453125
1722197498.8953562,204848,360.7474365234375
1722197498.9376633,204862,372.5361022949219
1722197523.799615,211250,514.8073120117188
1722197523.8399599,211262,487.4982604980469
1722197551.4173126,217654,536.1333618164062
1722197551.4499683,217664,507.79315185546875
1722197573.6129065,224056,591.218994140625
1722197573.6489117,224066,599.0952758789062
1722197597.8606236,230456,637.6797485351562
1722197597.909578,230468,626.0979614257812
1722197619.1909478,236860,734.919921875
1722197619.2249103,236870,731.4642333984375
1722197641.8317263,243264,655.0128784179688
1722197641.8657613,243274,679.433349609375
1722197663.432507,249666,761.437744140625
1722197663.4738345,249678,708.1847534179688
1722197688.866962,256068,747.9472045898438
1722197688.8759966,256070,776.5919799804688
1722197712.2277553,262470,886.33154296875
1722197712.2367613,262472,894.5307006835938
1722197734.234266,268872,1005.8560791015625
1722197734.252327,268876,979.076416015625
1722197759.3077674,275274,1051.5203857421875
1722197759.332949,275280,1050.7298583984375
1722197785.0027597,281674,1064.07470703125
1722197785.0188797,281678,1085.0684814453125
1722197812.214624,288076,1114.1700439453125
1722197812.2306397,288080,1121.8204345703125
1722197834.4064596,294478,1126.16455078125
1722197834.4214842,294482,1121.84765625
1722197856.4648676,300882,1123.9976806640625
1722197856.4758503,300884,1122.993408203125
1722197879.0862398,307280,1120.2830810546875
1722197879.1099908,307288,1133.7481689453125
1722197900.0654995,313682,1154.155029296875
1722197900.0983982,313692,1150.9261474609375
1722197924.8663168,320078,1176.77294921875
1722197924.9232016,320096,1208.4835205078125
1722197946.425256,326482,1191.19677734375
1722197946.4832392,326500,1203.0535888671875
1722197969.508939,332886,1191.21533203125
1722197969.5690002,332904,1187.7734375
1722197990.866158,339288,1265.537841796875
1722197990.9304898,339308,1268.2635498046875
1722198013.4866333,345692,1203.962158203125
1722198013.547088,345710,1238.516845703125
1722198035.4439228,352096,1165.6217041015625
1722198035.4977582,352112,1149.91748046875
1722198059.482536,358496,1259.3326416015625
1722198059.5490267,358516,1273.9332275390625
1722198082.7351434,364890,1318.701904296875
1722198082.803288,364916,1311.626708984375
1722198102.8988686,371292,1316.173095703125
1722198102.9778914,371318,1322.2298583984375
1722198124.7510428,377696,1362.1341552734375
1722198124.8232338,377720,1321.8709716796875
1722198146.6348715,384098,1359.5421142578125
1722198146.7131293,384122,1370.5076904296875
1722198170.3716562,390502,1400.1409912109375
1722198170.4401333,390524,1415.828125
1722198191.39998,396906,1384.244384765625
1722198191.4569802,396924,1398.88232421875
1722198214.8151498,403308,1429.4617919921875
1722198214.8810651,403328,1472.9288330078125
1722198238.735594,409702,1568.776611328125
1722198238.8109946,409730,1568.562744140625
1722198260.1565473,416104,1597.9466552734375
1722198260.235095,416128,1613.91064453125
1722198283.9251976,422500,1599.1024169921875
1722198284.024943,422532,1611.7366943359375
1722198305.6247852,428902,1635.860107421875
1722198305.7231982,428932,1646.3636474609375
1722198328.5843785,435306,1637.4844970703125
1722198328.6672332,435334,1622.194580078125
1722198349.1287293,441710,1631.9322509765625
1722198349.197735,441732,1620.2174072265625
1722198371.4226882,448112,1584.6998291015625
1722198371.4906101,448134,1600.037353515625
1722198393.326257,454514,1583.87744140625
1722198393.3871882,454534,1588.191650390625
1722198416.0269248,460916,1590.832763671875
1722198416.0915275,460936,1608.336669921875
1722198439.0261486,467312,1653.3258056640625
1722198439.1038153,467338,1653.968505859375
1722198460.3735466,473716,1708.2474365234375
1722198460.4560704,473740,1712.670654296875
1722198482.7955391,480110,1704.356689453125
1722198482.8908503,480142,1706.8299560546875
1722198503.7344098,486504,1753.3350830078125
1722198503.83007,486534,1754.7322998046875
1722198528.0401561,492906,1772.0604248046875
1722198528.1402833,492936,1774.308837890625
1722198550.1970053,499300,1786.2164306640625
1722198550.3037672,499334,1773.42236328125
1722198572.832997,505702,1777.8863525390625
1722198572.9445946,505738,1784.7369384765625
1722198595.2831914,512104,1793.9862060546875
1722198595.3646734,512134,1785.3077392578125
1722198615.771641,518506,1805.67138671875
1722198615.8692317,518536,1802.7349853515625
1722198640.319636,524908,1811.8360595703125
1722198640.4140246,524938,1799.8074951171875
1722198661.416262,531310,1844.98779296875
1722198661.5112622,531340,1839.8353271484375
1722198684.3959227,537710,1833.2353515625
1722198684.499341,537744,1852.0714111328125
1722198706.4210312,544108,1872.3017578125
1722198706.5757744,544148,1873.7977294921875
1722198731.876844,550508,1854.5382080078125
1722198732.0401788,550550,1866.4951171875
1722198759.1273258,556910,1841.076416015625
1722198759.28934,556954,1843.63134765625
1722198785.596261,563312,1826.771240234375
1722198785.7248535,563350,1844.196044921875
1722198808.826183,569714,1796.0164794921875
1722198808.8966348,569740,1798.5626220703125
1722198829.0814512,576116,1786.9462890625
1722198829.164046,576142,1799.4752197265625
1722198850.975515,582516,1753.8184814453125
1722198851.067481,582546,1785.1265869140625
1722198873.4185035,588920,1807.10595703125
1722198873.4855015,588940,1798.950927734375
1722198897.1100147,595322,1847.2991943359375
1722198897.1399393,595330,1847.29345703125
1722198918.2740324,601724,1844.3095703125
1722198918.2760122,601724,1853.8387451171875
1722198941.6495826,608126,1862.878662109375
1722198941.6515653,608126,1854.9832763671875
1722198963.9636621,614528,1865.9208984375
1722198963.9727967,614530,1863.1959228515625
1722198985.4208999,620920,1848.922119140625
1722198985.4569001,620930,1845.1798095703125
1722199010.129325,627324,1817.82421875
1722199010.1561677,627332,1825.3128662109375
